,Collection,Record,/fileIdentifier,/language/LanguageCode,/language/LanguageCode/@codeList,/language/LanguageCode/@codeListValue,/characterSet/@nilReason,/parentIdentifier/@nilReason,/hierarchyLevel,/hierarchyLevel/@codeList,/hierarchyLevel/@codeListValue,/hierarchyLevelName/@nilReason,/contact/individualName,/contact/organisationName,/contact/positionName,/contact/contactInfo/phone/voice,/contact/contactInfo/address/electronicMailAddress,/contact/role,/contact/role/@codeList,/contact/role/@codeListValue,/dateStamp/DateTime,/metadataStandardName,/metadataStandardVersion,/dataSetURI,/identificationInfo/citation/title,/identificationInfo/citation/date/date/Date,/identificationInfo/citation/date/dateType,/identificationInfo/citation/date/dateType/@codeList,/identificationInfo/citation/date/dateType/@codeListValue,/identificationInfo/citation/citedResponsibleParty/individualName,/identificationInfo/citation/citedResponsibleParty/organisationName,/identificationInfo/citation/citedResponsibleParty/positionName,/identificationInfo/citation/citedResponsibleParty/contactInfo/phone/voice,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/electronicMailAddress,/identificationInfo/citation/citedResponsibleParty/role,/identificationInfo/citation/citedResponsibleParty/role/@codeList,/identificationInfo/citation/citedResponsibleParty/role/@codeListValue,/identificationInfo/citation/citedResponsibleParty/individualName,/identificationInfo/citation/citedResponsibleParty/organisationName,/identificationInfo/citation/citedResponsibleParty/positionName,/identificationInfo/citation/citedResponsibleParty/contactInfo/phone/voice,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/electronicMailAddress,/identificationInfo/citation/citedResponsibleParty/role,/identificationInfo/citation/citedResponsibleParty/role/@codeList,/identificationInfo/citation/citedResponsibleParty/role/@codeListValue,/identificationInfo/citation/citedResponsibleParty/individualName/@nilReason,/identificationInfo/citation/citedResponsibleParty/organisationName,/identificationInfo/citation/citedResponsibleParty/positionName/@nilReason,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/deliveryPoint,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/city,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/administrativeArea,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/postalCode,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/country,/identificationInfo/citation/citedResponsibleParty/contactInfo/address/electronicMailAddress,/identificationInfo/citation/citedResponsibleParty/contactInfo/onlineResource/linkage/URL,/identificationInfo/citation/citedResponsibleParty/role,/identificationInfo/citation/citedResponsibleParty/role/@codeList,/identificationInfo/citation/citedResponsibleParty/role/@codeListValue,/identificationInfo/abstract,/identificationInfo/pointOfContact/individualName,/identificationInfo/pointOfContact/organisationName,/identificationInfo/pointOfContact/positionName,/identificationInfo/pointOfContact/contactInfo/phone/voice,/identificationInfo/pointOfContact/contactInfo/address/electronicMailAddress,/identificationInfo/pointOfContact/role,/identificationInfo/pointOfContact/role/@codeList,/identificationInfo/pointOfContact/role/@codeListValue,/identificationInfo/descriptiveKeywords/keyword,/identificationInfo/descriptiveKeywords/type,/identificationInfo/descriptiveKeywords/type/@codeList,/identificationInfo/descriptiveKeywords/type/@codeListValue,/identificationInfo/descriptiveKeywords/thesaurusName/title,/identificationInfo/descriptiveKeywords/thesaurusName/date/date/Date,/identificationInfo/descriptiveKeywords/thesaurusName/date/dateType,/identificationInfo/descriptiveKeywords/thesaurusName/date/dateType/@codeList,/identificationInfo/descriptiveKeywords/thesaurusName/date/dateType/@codeListValue,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/individualName/@nilReason,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/organisationName,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/positionName/@nilReason,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/address/electronicMailAddress,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/contactInfo/onlineResource/linkage/URL,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/role,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/role/@codeList,/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/role/@codeListValue,/identificationInfo/resourceConstraints/useLimitation,/identificationInfo/resourceConstraints/otherConstraints,/identificationInfo/language/LanguageCode,/identificationInfo/language/LanguageCode/@codeList,/identificationInfo/language/LanguageCode/@codeListValue,/identificationInfo/characterSet/@nilReason,/identificationInfo/topicCategory,/identificationInfo/extent/description/@nilReason,/identificationInfo/extent/geographicElement/extentTypeCode/Boolean,/identificationInfo/extent/geographicElement/westBoundLongitude/Decimal,/identificationInfo/extent/geographicElement/eastBoundLongitude/Decimal,/identificationInfo/extent/geographicElement/southBoundLatitude/Decimal,/identificationInfo/extent/geographicElement/northBoundLatitude/Decimal,/identificationInfo/extent/temporalElement/@nilReason,/identificationInfo/extent/verticalElement/@nilReason
0,ACOM_ISO,FINN.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,11.0,1.0,0.0,0.0,8.0,1.0,3.0,10.0,11.0,1.0,0.0,0.0,8.0,1.0,3.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,2.0,5.0,3.0,1.0,0.0,2.0,4.0,1.0,2.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
1,ACOM_ISO,FTIR%20time%20series%20of%20tropospheric%20and%20stratospheric%20gases.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,12.0,1.0,0.0,0.0,8.0,1.0,3.0,10.0,12.0,1.0,0.0,0.0,8.0,1.0,3.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,2.0,10.0,3.0,1.0,0.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,ACOM_ISO,MOPITT.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,8.0,3.0,0.0,0.0,8.0,1.0,3.0,10.0,8.0,3.0,0.0,0.0,8.0,1.0,3.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,2.0,10.0,6.0,3.0,2.0,4.0,4.0,1.0,2.0,19.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
3,ACOM_ISO,MOZART.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,8.0,3.0,2.0,3.0,5.0,1.0,2.0,10.0,8.0,3.0,2.0,3.0,5.0,1.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
4,ACOM_ISO,WRF-Chem%20Tools.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,10.0,3.0,1.0,0.0,4.0,4.0,1.0,2.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,CGD_ISO,cesm.cgd.ncar.ucar.edu_b.e11.B20TRLENS.f09_g16.SST.restoring.ensXX_2015-05-01.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,16.0,5.0,0.0,0.0,11.0,1.0,4.0,5.0,16.0,5.0,0.0,0.0,11.0,1.0,4.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,2.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
6,CGD_ISO,climatedataguide.ucar.edu__node.652.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
7,CGD_ISO,climatedataguide.ucar.edu__node.658_NAM.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
8,CGD_ISO,climatedataguide.ucar.edu__node.660_NP.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
9,CGD_ISO,climatedataguide.ucar.edu__node.740_NAOpc.xml,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,10.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
