XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,CISL_ISO,1,1,1.00,100.00%
/characterSet/@nilReason,CISL_ISO,1,1,1.00,100.00%
/contact,CISL_ISO,2,1,2.00,100.00%
/contact/contactInfo,CISL_ISO,1,1,1.00,100.00%
/contact/contactInfo/address/electronicMailAddress,CISL_ISO,2,1,2.00,100.00%
/contact/individualName,CISL_ISO,5,1,5.00,100.00%
/contact/organisationName,CISL_ISO,3,1,3.00,100.00%
/contact/positionName,CISL_ISO,1,1,1.00,100.00%
/contact/positionName/@nilReason,CISL_ISO,1,1,1.00,100.00%
/contact/role,CISL_ISO,2,1,2.00,100.00%
/contact/role/@codeList,CISL_ISO,1,1,1.00,100.00%
/contact/role/@codeListValue,CISL_ISO,1,1,1.00,100.00%
/dataSetURI,CISL_ISO,1,1,1.00,100.00%
/dateStamp/DateTime,CISL_ISO,2,1,2.00,100.00%
/distributionInfo/distributionFormat/@nilReason,CISL_ISO,1,1,1.00,100.00%
/distributionInfo/transferOptions/transferSize/Real,CISL_ISO,1,1,1.00,100.00%
/fileIdentifier,CISL_ISO,2,1,2.00,100.00%
/hierarchyLevel,CISL_ISO,1,1,1.00,100.00%
/hierarchyLevel/@codeList,CISL_ISO,1,1,1.00,100.00%
/hierarchyLevel/@codeListValue,CISL_ISO,1,1,1.00,100.00%
/hierarchyLevelName/@nilReason,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/abstract,CISL_ISO,2,1,2.00,100.00%
/identificationInfo/characterSet/@nilReason,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation/alternateTitle,CISL_ISO,3,1,3.00,100.00%
/identificationInfo/citation/citedResponsibleParty,CISL_ISO,3,1,3.00,100.00%
/identificationInfo/citation/citedResponsibleParty/individualName,CISL_ISO,10,1,10.00,100.00%
/identificationInfo/citation/citedResponsibleParty/individualName/@nilReason,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation/citedResponsibleParty/organisationName,CISL_ISO,5,1,5.00,100.00%
/identificationInfo/citation/citedResponsibleParty/positionName,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation/citedResponsibleParty/positionName/@nilReason,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation/citedResponsibleParty/role,CISL_ISO,5,1,5.00,100.00%
/identificationInfo/citation/citedResponsibleParty/role/@codeList,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation/citedResponsibleParty/role/@codeListValue,CISL_ISO,2,1,2.00,100.00%
/identificationInfo/citation/date/date/Date,CISL_ISO,2,1,2.00,100.00%
/identificationInfo/citation/date/dateType,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation/date/dateType/@codeList,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation/date/dateType/@codeListValue,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/citation/title,CISL_ISO,4,1,4.00,100.00%
/identificationInfo/descriptiveKeywords/keyword,CISL_ISO,3,1,3.00,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName,CISL_ISO,2,1,2.00,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty,CISL_ISO,1,1,1.00,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/individualName,CISL_ISO,4,1,4.00,100.00%
/identificationInfo/descriptiveKeywords/thesaurusName/citedResponsibleParty/individualName/@nilReason,CISL_ISO,1,1,1.00,100.00%
