XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,EOL_ISO,3680,3680,1.00,100.00%
/@schemaLocation,EOL_ISO,3680,3680,1.00,100.00%
/characterSet,EOL_ISO,3680,3680,1.00,100.00%
/characterSet/@codeList,EOL_ISO,3680,3680,1.00,100.00%
/characterSet/@codeListValue,EOL_ISO,3680,3680,1.00,100.00%
/contact,EOL_ISO,7360,3680,2.00,100.00%
/contact/contactInfo,EOL_ISO,3680,3680,1.00,100.00%
/contact/contactInfo/address/administrativeArea,EOL_ISO,7360,3680,2.00,100.00%
/contact/contactInfo/address/city,EOL_ISO,7360,3680,2.00,100.00%
/contact/contactInfo/address/deliveryPoint,EOL_ISO,7360,3680,2.00,100.00%
/contact/contactInfo/address/electronicMailAddress,EOL_ISO,7360,3680,2.00,100.00%
/contact/contactInfo/address/postalCode,EOL_ISO,7360,3680,2.00,100.00%
/contact/contactInfo/onlineResource,EOL_ISO,3680,3680,1.00,100.00%
/contact/contactInfo/onlineResource/linkage/URL,EOL_ISO,3680,3680,1.00,100.00%
/contact/contactInfo/onlineResource/name,EOL_ISO,7360,3680,2.00,100.00%
/contact/individualName,EOL_ISO,18400,3680,5.00,100.00%
/contact/organisationName,EOL_ISO,11040,3680,3.00,100.00%
/contact/positionName,EOL_ISO,7360,3680,2.00,100.00%
/contact/role,EOL_ISO,7360,3680,2.00,100.00%
/contact/role/@codeList,EOL_ISO,3680,3680,1.00,100.00%
/contact/role/@codeListValue,EOL_ISO,3680,3680,1.00,100.00%
/dataSetURI,EOL_ISO,3680,3680,1.00,100.00%
/dateStamp/DateTime,EOL_ISO,7360,3680,2.00,100.00%
/distributionInfo/distributor/distributorContact,EOL_ISO,7360,3680,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo,EOL_ISO,3680,3680,1.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/administrativeArea,EOL_ISO,7360,3680,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/city,EOL_ISO,7360,3680,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/country,EOL_ISO,7050,3525,1.92,95.79%
/distributionInfo/distributor/distributorContact/contactInfo/address/deliveryPoint,EOL_ISO,7360,3680,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/electronicMailAddress,EOL_ISO,310,155,0.08,4.21%
/distributionInfo/distributor/distributorContact/contactInfo/address/postalCode,EOL_ISO,7360,3680,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/onlineResource,EOL_ISO,3680,3680,1.00,100.00%
