XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,Unidata_ISO,11,11,1.00,100.00%
/characterSet,Unidata_ISO,11,11,1.00,100.00%
/characterSet/@codeList,Unidata_ISO,11,11,1.00,100.00%
/characterSet/@codeListValue,Unidata_ISO,11,11,1.00,100.00%
/contact,Unidata_ISO,22,11,2.00,100.00%
/contact/contactInfo,Unidata_ISO,11,11,1.00,100.00%
/contact/contactInfo/address/electronicMailAddress,Unidata_ISO,22,11,2.00,100.00%
/contact/contactInfo/phone/voice,Unidata_ISO,22,11,2.00,100.00%
/contact/individualName,Unidata_ISO,55,11,5.00,100.00%
/contact/organisationName,Unidata_ISO,33,11,3.00,100.00%
/contact/positionName,Unidata_ISO,22,11,2.00,100.00%
/contact/role,Unidata_ISO,22,11,2.00,100.00%
/contact/role/@codeList,Unidata_ISO,11,11,1.00,100.00%
/contact/role/@codeListValue,Unidata_ISO,11,11,1.00,100.00%
/dataSetURI,Unidata_ISO,11,11,1.00,100.00%
/dateStamp/DateTime,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributionFormat/name,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributionFormat/version/@nilReason,Unidata_ISO,11,11,1.00,100.00%
/distributionInfo/distributor/distributorContact,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo,Unidata_ISO,11,11,1.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/administrativeArea,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/city,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/country,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/deliveryPoint,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/electronicMailAddress,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/address/postalCode,Unidata_ISO,22,11,2.00,100.00%
/distributionInfo/distributor/distributorContact/contactInfo/onlineResource,Unidata_ISO,11,11,1.00,100.00%
